T,U,RRR,day,month,year,num
10.55,59.75,0,1,1,2012,1
11.25,52.5,0,2,1,2012,2
9.325,73.25,1.75,3,1,2012,3
11.925,58.25,0,4,1,2012,4
13.05,48.25,0,5,1,2012,5
13.2,71,2.75,6,1,2012,6
12.775,78,0,7,1,2012,7
13.45,81,8.825,8,1,2012,8
13.725,83,0.075,9,1,2012,9
11.8,69.75,0.25,10,1,2012,10
12.35,45.25,0,11,1,2012,11
12.65,27.25,0,12,1,2012,12
11.95,29.25,0,13,1,2012,13
13.475,61.75,1.25,14,1,2012,14
14.725,78,0,15,1,2012,15
12.5,89.5,0.25,16,1,2012,16
11.4,61,0.4,17,1,2012,17
11.1,64.5,0.2,18,1,2012,18
13.35,66.25,0.5,19,1,2012,19
14.975,76.25,0,20,1,2012,20
13.9,73.3333,0,21,1,2012,21
14.2333,85,0,22,1,2012,22
15.125,80.75,0,23,1,2012,23
14.875,88.75,0,24,1,2012,24
14.175,94,0,25,1,2012,25
16.15,81,0,26,1,2012,26
14.425,91.5,0,27,1,2012,27
15.425,88.25,0,28,1,2012,28
16.675,89.75,1.325,29,1,2012,29
17.225,88,0.275,30,1,2012,30
17.225,89.25,0.2,31,1,2012,31
17.1,95.25,4.25,1,2,2012,32
16.1,94,1.75,2,2,2012,33
16.4,75.5,0.275,3,2,2012,34
15.15,80,0,4,2,2012,35
15.425,77.25,0,5,2,2012,36
15.125,88.25,0,6,2,2012,37
16.35,74,0,7,2,2012,38
13.8,95,0,8,2,2012,39
15.225,88,0,9,2,2012,40
15.525,84.5,0,10,2,2012,41
16.05,78.5,0,11,2,2012,42
16.225,78.5,0,12,2,2012,43
16.8,82,0.2,13,2,2012,44
16.875,90.25,1.7,14,2,2012,45
17.225,71.5,0.075,15,2,2012,46
16.4,68.75,0,16,2,2012,47
17.8,57.75,0,17,2,2012,48
18.75,20.5,0,18,2,2012,49
15.4,31.5,0,19,2,2012,50
14.025,37,0,20,2,2012,51
13.9,46,0,21,2,2012,52
15.275,54.5,0,22,2,2012,53
16.95,76.25,0.2,23,2,2012,54
17.375,79.25,0,24,2,2012,55
19.65,65.75,0,25,2,2012,56
23.7,28.25,0,26,2,2012,57
21.25,49.75,0,27,2,2012,58
17.375,80.25,0,28,2,2012,59
16.95,75.5,0,29,2,2012,60
16.675,75.25,0,1,3,2012,61
16.375,79.5,0,2,3,2012,62
16.45,85,0,3,3,2012,63
16.875,79,0,4,3,2012,64
21.225,46.25,0,5,3,2012,65
22.75,28.5,0,6,3,2012,66
24.175,21.25,0,7,3,2012,67
21.95,34.75,0,8,3,2012,68
18.475,51,0,9,3,2012,69
17.75,64.5,0.2,10,3,2012,70
18.475,70.5,0,11,3,2012,71
19,78,0,12,3,2012,72
19.7,79.5,0.075,13,3,2012,73
20.125,83.5,0,14,3,2012,74
22.8,71.25,0,15,3,2012,75
25.15,50,0,16,3,2012,76
22.3,62,0,17,3,2012,77
23.6,51,0,18,3,2012,78
22.25,58.25,0,19,3,2012,79
18.75,71.5,0,20,3,2012,80
17.225,70.5,0,21,3,2012,81
17.625,68.75,0.75,22,3,2012,82
19.175,69,0,23,3,2012,83
19.175,76,0,24,3,2012,84
19.725,78.75,0,25,3,2012,85
20.8,78.25,0,26,3,2012,86
20.55,78,0,27,3,2012,87
19.725,77.5,0,28,3,2012,88
19.3,74.5,0,29,3,2012,89
20.6,79.75,0,30,3,2012,90
23.75,68.25,0,31,3,2012,91
23.75,66,0,1,4,2012,92
22.625,73.25,0,2,4,2012,93
21.2,73.75,0,3,4,2012,94
19.4,84,0,4,4,2012,95
17.8,90,0,5,4,2012,96
20,76.75,0,6,4,2012,97
19.325,78,0,7,4,2012,98
21.25,73.5,0,8,4,2012,99
22.8,73.25,0,9,4,2012,100
22.35,74.75,0,10,4,2012,101
22.225,75.75,0,11,4,2012,102
22.05,71.5,0,12,4,2012,103
21.525,70.75,0,13,4,2012,104
20.525,75.75,0,14,4,2012,105
20.675,79.5,0,15,4,2012,106
21.4667,82.6667,0,16,4,2012,107
27.5,48.75,0,17,4,2012,108
25.225,60.75,0,18,4,2012,109
20.975,84.25,0,19,4,2012,110
20.575,86.75,0,20,4,2012,111
21.4,81.25,0,21,4,2012,112
24.325,72.5,0,22,4,2012,113
22.775,74.5,0,23,4,2012,114
22.35,71.75,0,24,4,2012,115
22.375,73,0,25,4,2012,116
23.2,67.5,0,26,4,2012,117
21.95,69.25,0,27,4,2012,118
22,75,0,28,4,2012,119
20.55,78.5,0,29,4,2012,120
21.025,71.75,0,30,4,2012,121
21.65,70.5,0,1,5,2012,122
22.525,66,0,2,5,2012,123
23.5,74.5,0,3,5,2012,124
23.7,72.6667,0,4,5,2012,125
22.9,73.75,0,5,5,2012,126
21.675,67.25,0,6,5,2012,127
20.15,72.75,0,7,5,2012,128
